source,label,date
Donald Trump,0.0,2018-05-29
Donald Trump,1.0,2018-05-29
Donald Trump,5.0,2018-05-29
Donald Trump,1.0,2018-05-24
Donald Trump,5.0,2018-05-24
Donald Trump,1.0,2018-05-23
Donald Trump,3.0,2018-05-23
Donald Trump,2.0,2018-05-15
Donald Trump,4.0,2018-05-15
Donald Trump,1.0,2018-05-11
Donald Trump,0.0,2018-05-10
Donald Trump,2.0,2018-05-07
Donald Trump,1.0,2018-05-02
Donald Trump,3.0,2018-05-01
Donald Trump,3.0,2018-04-27
Donald Trump,4.0,2018-04-26
Donald Trump,1.0,2018-04-22
Donald Trump,0.0,2018-04-20
Donald Trump,3.0,2018-04-19
Donald Trump,2.0,2018-04-10
Donald Trump,2.0,2018-04-10
Donald Trump,4.0,2018-04-09
Donald Trump,2.0,2018-04-09
Donald Trump,0.0,2018-04-06
Donald Trump,2.0,2018-04-04
Donald Trump,3.0,2018-04-02
Donald Trump,2.0,2018-04-02
Donald Trump,1.0,2018-04-02
Donald Trump,2.0,2018-03-28
Donald Trump,1.0,2018-03-22
Donald Trump,3.0,2018-03-21
Donald Trump,3.0,2018-03-16
Donald Trump,1.0,2018-03-15
Donald Trump,2.0,2018-03-15
Donald Trump,5.0,2018-03-14
Donald Trump,0.0,2018-03-13
Donald Trump,4.0,2018-03-13
Donald Trump,3.0,2018-03-12
Donald Trump,3.0,2018-03-09
Donald Trump,1.0,2018-03-09
Donald Trump,1.0,2018-03-07
Donald Trump,5.0,2018-03-06
Donald Trump,1.0,2018-03-01
Donald Trump,2.0,2018-02-20
Donald Trump,0.0,2018-02-19
Donald Trump,2.0,2018-02-08
Donald Trump,3.0,2018-02-07
Donald Trump,0.0,2018-02-06
Donald Trump,2.0,2018-02-02
Donald Trump,3.0,2018-02-02
Donald Trump,2.0,2018-02-01
Donald Trump,3.0,2018-01-31
Donald Trump,2.0,2018-01-31
Donald Trump,2.0,2018-01-31
Donald Trump,2.0,2018-01-31
Donald Trump,4.0,2018-01-31
Donald Trump,5.0,2018-01-31
Donald Trump,3.0,2018-01-31
Donald Trump,2.0,2018-01-31
Donald Trump,1.0,2018-01-31
Donald Trump,4.0,2018-01-31
Donald Trump,1.0,2018-01-31
Donald Trump,3.0,2018-01-31
Donald Trump,0.0,2018-01-29
Donald Trump,1.0,2018-01-24
Donald Trump,2.0,2018-01-24
Donald Trump,3.0,2018-01-23
Donald Trump,3.0,2018-01-18
Donald Trump,2.0,2018-01-17
Donald Trump,2.0,2018-01-12
Donald Trump,2.0,2018-01-09
Donald Trump,5.0,2018-01-08
Donald Trump,4.0,2018-01-08
Donald Trump,1.0,2018-01-05
Donald Trump,3.0,2018-01-05
Donald Trump,1.0,2018-01-04
Donald Trump,2.0,2018-01-03
Donald Trump,1.0,2018-01-03
Donald Trump,1.0,2018-01-02
Donald Trump,1.0,2017-12-29
Donald Trump,1.0,2017-12-21
Donald Trump,0.0,2017-12-20
Donald Trump,1.0,2017-12-15
Donald Trump,1.0,2017-12-11
Donald Trump,4.0,2017-12-07
Donald Trump,4.0,2017-12-06
Donald Trump,1.0,2017-12-05
Donald Trump,1.0,2017-11-30
Donald Trump,0.0,2017-11-30
Donald Trump,0.0,2017-11-29
Donald Trump,2.0,2017-11-28
Donald Trump,3.0,2017-11-14
Donald Trump,0.0,2017-11-07
Donald Trump,4.0,2017-11-06
Donald Trump,2.0,2017-11-01
Donald Trump,2.0,2017-10-30
Donald Trump,3.0,2017-10-26
Donald Trump,1.0,2017-10-26
Donald Trump,3.0,2017-10-24
Donald Trump,1.0,2017-10-23
Donald Trump,1.0,2017-10-18
Donald Trump,2.0,2017-10-18
Donald Trump,4.0,2017-10-12
Donald Trump,1.0,2017-10-12
Donald Trump,1.0,2017-10-12
Donald Trump,2.0,2017-10-11
Donald Trump,2.0,2017-10-02
Donald Trump,1.0,2017-09-28
Donald Trump,0.0,2017-09-28
Donald Trump,1.0,2017-09-28
Donald Trump,4.0,2017-09-27
Donald Trump,2.0,2017-09-24
Donald Trump,2.0,2017-09-21
Donald Trump,3.0,2017-09-20
Donald Trump,3.0,2017-09-19
Donald Trump,3.0,2017-09-18
Donald Trump,2.0,2017-09-06
Donald Trump,1.0,2017-08-31
Donald Trump,1.0,2017-08-23
Donald Trump,1.0,2017-08-23
Donald Trump,0.0,2017-08-17
Donald Trump,0.0,2017-08-17
Donald Trump,1.0,2017-08-17
Donald Trump,1.0,2017-08-03
Donald Trump,3.0,2017-08-01
Donald Trump,2.0,2017-07-31
Donald Trump,1.0,2017-07-27
Donald Trump,0.0,2017-07-26
Donald Trump,4.0,2017-07-25
Donald Trump,2.0,2017-07-25
Donald Trump,1.0,2017-07-21
Donald Trump,1.0,2017-07-20
Donald Trump,2.0,2017-07-18
Donald Trump,1.0,2017-07-17
Donald Trump,1.0,2017-07-11
Donald Trump,2.0,2017-07-10
Donald Trump,2.0,2017-07-06
Donald Trump,0.0,2017-07-03
Donald Trump,1.0,2017-06-30
Donald Trump,3.0,2017-06-27
Donald Trump,2.0,2017-06-26
Donald Trump,2.0,2017-06-21
Donald Trump,5.0,2017-06-20
Donald Trump,2.0,2017-06-19
Donald Trump,3.0,2017-06-15
Donald Trump,2.0,2017-06-14
Donald Trump,2.0,2017-06-13
Donald Trump,1.0,2017-06-05
Donald Trump,1.0,2017-06-04
Donald Trump,1.0,2017-05-26
Donald Trump,3.0,2017-05-24
Donald Trump,5.0,2017-05-15
Donald Trump,2.0,2017-05-12
Donald Trump,0.0,2017-05-12
Donald Trump,1.0,2017-05-04
Donald Trump,5.0,2017-05-02
Donald Trump,2.0,2017-05-01
Donald Trump,4.0,2017-04-28
Donald Trump,2.0,2017-04-27
Donald Trump,3.0,2017-04-26
Donald Trump,3.0,2017-04-26
Donald Trump,2.0,2017-04-25
Donald Trump,5.0,2017-04-25
Donald Trump,1.0,2017-04-24
Donald Trump,1.0,2017-04-20
Donald Trump,3.0,2017-04-19
Donald Trump,4.0,2017-04-19
Donald Trump,1.0,2017-04-18
Donald Trump,2.0,2017-04-17
Donald Trump,,2017-04-12
Donald Trump,0.0,2017-04-12
Donald Trump,3.0,2017-04-10
Donald Trump,3.0,2017-04-06
Donald Trump,2.0,2017-04-04
